ORIG	DEST	N_TOT
14	14	1
50	50	1
51	50	1
51	51	1
53	51	1
53	53	1
66	53	1
66	66	1
68	66	1
68	68	1
69	68	1
71	73	1
72	72	1
73	73	1
84	84	1
85	84	1
88	88	1
88	166	1
104	120	1
109	117	1
110	109	1
111	110	1
117	117	1
117	118	1
118	118	1
118	119	1
119	119	1
119	122	1
120	120	2
120	121	1
120	127	1
121	121	1
121	122	1
122	114	1
122	122	3
123	122	1
123	123	1
124	123	1
127	120	1
127	127	3
127	131	1
128	128	1
128	129	2
129	104	1
129	127	1
129	129	2
129	132	1
130	128	1
130	130	1
131	130	1
131	131	2
131	134	1
132	132	1
133	128	1
134	127	1
134	134	1
136	137	1
137	137	1
141	2668	1
146	157	1
147	147	1
147	151	1
151	151	1
151	2668	1
155	131	1
155	147	1
155	2505	1
156	156	1
156	163	1
157	156	1
160	160	1
160	179	1
163	173	1
166	166	1
166	2668	1
172	160	1
173	580	1
174	210	1
179	179	1
180	180	1
180	602	1
181	180	1
192	202	1
197	197	1
200	192	1
200	197	1
202	146	1
202	202	2
203	202	1
203	203	1
207	200	1
210	210	1
210	252	1
230	230	1
230	2504	1
232	232	1
233	232	1
249	250	1
250	250	1
252	261	1
261	264	1
262	270	1
263	262	1
263	263	1
264	266	1
265	263	1
265	265	1
266	269	1
267	267	1
267	272	1
269	269	1
270	270	1
271	1008	1
272	233	1
272	272	1
273	273	1
273	276	1
274	273	1
274	274	1
275	274	1
275	277	1
276	267	1
276	273	1
276	276	1
277	287	1
278	278	1
278	287	1
279	276	1
279	279	1
281	265	1
282	279	1
282	282	1
284	285	1
284	286	1
285	278	1
285	285	2
285	286	1
286	282	1
286	286	1
287	287	2
287	288	1
288	288	1
288	289	1
289	284	1
289	285	1
289	289	2
310	310	1
310	319	1
319	281	1
319	330	1
322	322	1
322	323	1
323	323	1
324	324	1
325	324	1
325	325	1
326	325	1
326	326	1
327	326	1
330	322	1
330	330	1
342	342	1
342	399	1
348	348	1
366	367	1
367	367	1
381	348	1
381	381	2
382	381	2
382	382	1
385	385	1
385	395	1
394	395	1
395	395	2
398	402	1
399	399	1
399	402	1
402	402	1
402	2618	1
406	406	1
407	406	1
407	407	1
410	410	1
411	407	1
411	410	1
413	413	1
413	2668	1
417	413	1
424	425	1
425	437	1
429	442	1
432	429	1
432	432	1
437	432	1
437	437	1
440	440	1
440	442	1
441	440	1
442	442	2
442	464	1
456	483	1
459	459	1
461	461	1
463	463	1
463	479	1
464	463	1
466	342	1
466	466	1
467	466	1
468	468	1
468	480	1
469	469	1
473	519	1
474	474	1
474	509	1
475	469	1
479	468	1
479	480	1
480	456	1
480	480	1
480	483	1
483	483	2
492	492	1
500	501	1
501	501	1
501	693	1
507	474	1
509	509	1
519	310	1
519	519	1
538	2668	1
541	543	1
543	543	2
543	1008	1
561	561	1
561	604	1
569	561	1
569	569	1
571	569	1
571	571	1
572	571	1
573	573	1
573	575	1
575	181	1
576	573	1
580	591	1
581	88	1
589	616	1
598	598	1
602	598	1
602	602	1
604	604	1
607	543	1
607	608	1
608	608	1
608	610	1
610	610	1
610	611	1
611	611	1
614	174	1
616	616	1
654	2668	1
671	684	1
673	671	1
675	675	2
675	843	1
676	675	2
679	679	1
679	2668	1
682	682	1
682	683	1
683	676	1
683	683	1
684	682	1
684	684	1
687	698	1
690	692	1
692	692	1
693	693	1
693	694	1
694	492	1
694	694	1
698	698	1
715	461	1
776	2668	1
786	786	1
788	786	1
788	788	1
826	826	1
826	832	1
827	826	1
827	827	1
829	827	1
832	832	1
832	838	1
835	679	1
835	788	1
835	835	1
836	835	1
837	835	1
837	836	1
837	837	2
838	837	2
838	838	2
840	842	1
842	842	1
842	896	1
843	842	1
843	843	1
846	847	2
847	832	1
847	838	1
847	847	2
861	861	1
861	864	1
863	861	1
864	864	1
864	865	1
865	865	1
865	866	1
866	866	1
872	873	1
872	874	1
873	873	1
873	874	1
874	874	2
874	875	1
875	875	1
875	876	1
876	876	1
886	888	1
888	888	1
896	614	1
914	919	1
919	919	1
927	72	1
945	945	1
945	972	1
946	945	1
947	950	1
950	953	1
953	972	1
972	972	1
972	1008	1
972	2668	1
973	1008	1
1008	203	1
1008	1008	1
1008	1152	1
1036	1036	1
1042	1036	1
1044	2336	1
1044	2662	1
1053	3362	1
1151	2293	1
1365	1486	1
1370	1370	1
1372	1392	1
1380	1008	1
1392	1392	1
1392	1393	1
1393	1393	2
1393	1483	1
1417	2505	1
1424	1424	1
1424	1428	1
1425	1426	1
1426	1426	1
1426	1430	1
1427	1424	1
1427	1427	1
1428	1428	1
1429	1429	1
1430	1427	1
1430	1430	1
1430	1431	1
1431	1431	1
1432	1429	1
1432	1432	1
1433	1432	1
1481	1481	2
1481	1482	1
1481	1484	1
1481	1487	1
1482	1393	1
1482	1481	1
1482	1482	1
1483	1482	1
1484	1484	1
1485	1370	1
1485	1485	1
1486	1485	1
1486	1486	2
1486	1504	1
1487	1486	1
1487	1487	1
1489	1481	1
1489	1489	1
1490	1490	1
1493	1494	1
1494	1489	1
1494	1494	1
1494	1495	1
1495	1495	1
1495	1496	1
1496	1496	1
1496	1500	1
1500	1501	1
1501	1501	1
1503	1505	1
1504	1504	1
1505	1490	1
1505	1505	1
1506	1507	1
1507	1507	1
2280	2280	1
2280	2294	1
2283	2280	1
2289	2287	1
2290	2289	1
2290	2290	1
2293	2290	1
2293	2293	2
2294	2293	1
2294	2294	1
2300	2300	1
2300	2304	1
2300	2547	1
2303	2300	1
2303	2303	1
2304	2304	2
2316	2304	1
2316	2316	1
2317	2316	1
2319	2303	1
2324	2317	1
2324	2324	1
2331	2331	1
2331	2333	1
2332	2350	1
2333	2347	1
2334	2331	1
2334	2334	1
2335	2335	1
2336	2336	1
2336	2340	1
2340	2340	1
2341	2343	1
2342	2324	1
2342	2342	1
2343	2342	1
2343	2343	1
2347	2347	1
2348	2348	1
2348	2349	1
2349	2334	1
2350	2350	1
2350	2360	1
2360	2348	1
2367	2668	1
2376	2377	1
2377	2383	1
2383	2668	1
2384	2384	1
2384	2409	1
2387	2387	1
2387	2388	1
2388	2388	1
2388	2409	1
2391	1044	1
2396	2387	1
2396	2396	1
2397	2397	1
2397	2404	1
2398	2398	1
2398	2399	1
2399	2397	1
2399	2399	1
2400	2398	1
2400	2400	1
2401	2402	1
2402	2400	1
2402	2402	1
2404	2387	1
2404	2404	1
2405	2668	1
2409	2409	1
2409	2410	1
2410	2410	1
2410	2668	1
2417	2423	1
2418	2417	1
2420	2423	1
2422	2422	1
2422	2424	1
2423	2384	1
2423	2423	2
2424	2425	1
2425	2418	1
2432	2396	1
2432	2433	1
2433	2433	1
2438	2438	1
2438	2439	1
2439	2447	1
2445	2449	1
2447	2422	1
2447	2447	1
2449	2438	1
2449	2449	1
2458	2458	1
2459	2458	1
2466	2466	1
2468	2466	1
2503	2335	1
2504	2504	1
2504	5514	1
2505	230	2
2505	2505	2
2512	1008	1
2522	289	1
2537	2536	1
2538	2537	1
2538	2538	2
2539	2538	1
2540	2538	1
2547	2547	1
2547	2560	1
2549	2283	1
2560	2560	1
2562	2562	1
2562	2563	1
2563	2563	1
2563	2570	1
2570	2570	1
2573	2562	1
2573	2573	1
2574	2573	1
2574	2574	1
2576	2574	1
2591	2593	1
2593	2593	1
2602	2540	1
2602	2602	1
2611	2602	1
2611	2611	1
2618	2611	1
2662	382	1
2668	14	1
2668	385	1
2668	459	1
2668	1151	1
2711	2711	2
2711	2714	2
2712	2712	1
2712	2713	1
2712	2727	1
2713	2713	2
2713	2723	1
2713	2730	1
2714	2712	1
2714	2714	2
2718	2711	1
2718	2718	1
2719	2722	1
2720	2711	1
2720	2720	1
2722	2718	1
2722	2722	2
2722	2726	1
2723	2713	1
2723	2723	2
2726	2720	1
2726	2722	1
2727	2723	1
2727	2727	1
2730	2731	1
2731	2732	1
2732	2734	1
2734	2764	1
