ORIG	DEST	N_TOT
34	34	1
34	57	1
42	42	1
47	42	1
47	47	1
57	47	1
57	57	2
57	59	1
58	59	1
59	34	1
59	59	1
59	60	1
60	61	1
61	61	1
92	92	1
128	128	1
136	136	1
136	140	1
137	136	1
140	140	1
192	192	1
198	198	1
198	558	1
200	200	1
200	201	1
201	192	1
201	201	1
208	198	1
208	208	1
245	208	1
248	248	1
256	303	1
274	275	1
275	275	1
275	277	1
277	277	1
299	564	1
300	299	1
300	300	1
303	527	1
304	300	1
304	304	1
334	338	1
338	338	1
338	2620	1
418	418	1
418	431	1
430	418	1
431	431	1
431	720	1
458	483	1
459	458	1
459	459	1
461	463	1
463	459	1
463	463	1
483	484	1
484	484	1
484	486	1
485	485	1
485	490	1
486	485	1
486	486	1
490	490	1
490	491	1
491	496	1
496	496	1
506	507	1
507	507	1
507	508	1
508	508	1
508	509	1
509	509	1
526	304	1
526	526	1
527	526	1
554	554	1
554	564	1
555	554	1
558	200	1
558	248	1
558	558	1
559	2668	1
561	571	1
564	564	2
564	567	1
564	568	1
565	565	1
567	565	1
567	567	1
568	561	1
568	568	1
571	571	1
629	629	1
664	664	1
674	683	1
675	674	1
675	675	1
677	677	1
677	842	1
682	677	1
683	682	1
720	720	1
720	722	1
722	722	2
722	724	1
724	726	1
726	737	1
730	722	1
730	730	1
737	740	1
740	740	1
777	798	1
794	794	1
794	836	1
798	794	1
798	798	1
801	819	1
812	812	1
819	819	1
836	836	2
836	837	1
842	843	1
843	843	1
843	844	1
844	846	1
844	894	1
846	836	1
877	877	1
882	882	1
894	894	1
894	895	1
895	895	1
896	675	1
925	882	1
1008	92	1
1008	629	1
1008	664	1
1008	1413	1
1021	1021	1
1023	1021	1
1029	1029	1
1030	1029	1
1030	1030	1
1044	1030	1
1366	1376	1
1373	1373	1
1374	1373	1
1374	1374	1
1376	1376	1
1382	1398	1
1398	1398	1
1410	1410	1
1413	1413	1
1413	1416	1
1416	1416	1
1421	1410	1
1458	1461	1
1460	1460	1
1461	1460	1
1461	1461	1
1500	1500	1
2260	2264	1
2261	2260	1
2262	2262	1
2264	2262	1
2264	2264	1
2289	2289	1
2296	2296	1
2302	2302	1
2302	2306	1
2306	2306	1
2323	2319	1
2330	2330	1
2330	2502	1
2332	2349	1
2334	2349	1
2335	2330	1
2341	2323	1
2341	2341	1
2347	2352	1
2349	2335	1
2349	2341	1
2351	2351	1
2352	2352	1
2363	2364	1
2364	2364	1
2393	2393	1
2393	2412	1
2396	2396	1
2396	2432	1
2397	2396	1
2397	2397	1
2398	2398	1
2398	2403	1
2399	2398	1
2399	2399	1
2399	2403	1
2400	2399	1
2400	2400	1
2401	2401	1
2401	2431	1
2402	2400	1
2403	2397	1
2403	2403	2
2403	2432	1
2405	2406	1
2406	2406	1
2406	2407	1
2408	2393	1
2408	2408	1
2409	2408	1
2412	2296	1
2412	2412	1
2429	2429	1
2431	2405	1
2431	2431	1
2432	2432	2
2432	2433	1
2433	2433	1
2433	2434	1
2434	2401	1
2454	2454	1
2457	2454	1
2460	2460	1
2460	2461	1
2461	2461	1
2502	2351	1
2502	2502	1
2511	2511	1
2524	2524	1
2528	2524	1
2592	2598	1
2598	2598	1
2598	2599	1
2599	2599	2
2620	2620	1
2668	57	1
2668	128	1
2668	812	1
2668	877	1
2668	1374	1
2668	1500	1
2668	2302	1
2668	2429	1
2668	2511	1
2668	2599	1
2728	2460	1
4604	2289	1
4604	2334	1
5514	730	1
5514	2332	1
5514	2728	1
