ORIG	DEST	N_TOT
112	112	1
204	204	1
210	210	1
251	210	1
256	256	1
332	332	1
508	509	1
509	509	1
509	510	1
510	510	1
510	644	1
511	511	1
513	511	1
540	513	1
540	540	1
628	628	1
638	639	1
639	540	1
641	638	1
641	641	1
642	641	1
642	642	1
644	644	1
644	646	1
646	642	1
857	890	1
890	890	1
890	893	1
893	893	1
931	931	1
977	977	1
1044	2621	1
1437	1437	1
1437	1438	1
1438	1438	1
1440	1437	1
2324	2324	1
2344	2324	1
2344	2344	1
2352	2352	1
2356	2356	1
2356	2359	1
2358	2356	1
2359	2352	1
2359	2359	1
2430	2430	1
2431	2430	1
2431	2431	1
2444	2444	1
2444	2460	1
2453	2444	1
2460	2460	1
2621	332	1
2621	2621	1
2668	112	1
2668	204	1
2668	628	1
2668	857	1
2668	931	1
2668	977	1
2668	2344	1
3362	256	1
4604	2358	1
4604	2431	1
