ORIG	DEST	N_TOT
1	9	1
9	9	1
9	10	1
10	10	1
16	16	1
18	18	1
18	24	1
20	93	1
21	21	1
21	22	1
22	88	1
24	16	1
24	24	1
35	40	1
37	43	1
40	40	1
43	1	1
43	43	1
44	44	1
57	57	1
61	63	1
63	63	1
80	85	1
81	81	1
85	85	1
85	585	1
88	88	1
89	90	1
90	21	1
90	90	2
92	90	1
92	92	1
93	93	1
93	97	1
95	18	1
95	95	1
97	95	1
97	97	1
104	104	1
104	120	1
110	110	1
112	110	1
118	2668	1
120	120	1
122	122	1
142	1436	1
150	150	1
156	156	1
163	163	1
163	164	1
164	164	1
177	163	1
177	177	2
187	187	1
187	189	1
189	189	1
203	203	1
213	202	1
219	219	2
221	226	1
226	219	1
226	226	1
226	1447	1
249	557	1
250	250	1
250	3362	1
252	252	1
253	2668	1
254	254	1
255	254	1
255	255	1
258	255	1
258	258	1
266	267	1
267	267	1
268	268	2
270	270	1
271	270	1
271	271	1
277	277	1
282	282	1
284	285	1
285	285	1
285	289	1
288	288	1
289	288	1
289	289	1
289	291	1
291	291	1
310	472	1
312	312	1
321	472	1
323	327	1
324	324	2
327	327	1
327	329	1
328	324	1
329	321	1
332	328	1
333	335	1
335	323	1
335	335	2
335	337	1
336	332	1
337	337	1
337	338	1
338	336	1
338	338	1
338	339	1
339	338	1
339	339	1
343	339	1
344	343	1
344	344	1
345	345	1
345	387	1
346	345	1
348	348	1
350	348	1
350	350	1
355	355	2
355	365	1
356	355	1
356	356	1
357	356	1
357	357	1
358	357	1
358	358	1
359	358	1
363	363	1
364	363	1
364	364	1
365	364	1
365	365	1
383	383	1
385	346	1
387	387	1
387	393	1
391	393	1
392	391	1
392	392	1
393	393	3
393	407	1
405	405	1
405	438	1
407	407	1
429	429	1
433	433	1
438	438	1
464	464	1
467	344	1
467	467	1
467	476	1
469	469	1
472	472	3
476	469	1
478	467	1
481	478	1
481	481	1
485	485	1
485	486	1
486	486	1
489	489	1
489	699	1
491	491	1
492	481	1
496	485	1
500	500	1
