Voertuigtype,CO2 (gram/km),SO2 (mg/km),PMv (mg/km),NOx (g/km),PMslijtage (mg/km)
Bestelauto < 2 ton,213,1.3,88,0.9,30
Bestelauto > 2 ton,302,1.8,55,1.5,30
Vrachtauto < 10 ton,472,2.8,52,4.8,113
Vrachtauto 10-20 ton,1009,6,86,8.9,121
Vrachtauto 10-20 ton + aanhanger,1387,8.3,108,9.5,138
Vrachtauto > 20 ton,1501,9,107,11.9,135
Vrachtauto > 20 ton + aanhanger,1922,11.5,139,12,151
Trekker-oplegger licht,1565,9.4,42,10.7,113
Trekker-oplegger zwaar,2258,13.5,107,9.9,116
LZV,3048,18.3,128,13.2,168
