ORIG	DEST	N_TOT
58	58	1
61	58	1
122	122	1
123	122	1
137	137	1
208	208	1
209	209	2
209	557	1
245	245	1
247	245	1
249	249	1
249	256	1
256	256	1
274	274	1
322	322	1
327	327	1
327	334	1
333	322	1
334	334	1
339	327	1
339	339	1
344	339	1
430	430	1
440	441	1
441	441	1
441	464	1
445	440	1
445	445	1
448	445	1
461	461	1
462	461	1
462	462	1
464	464	1
464	465	1
465	466	1
466	462	1
466	466	1
505	505	1
505	506	1
506	506	1
512	635	1
517	505	1
517	517	1
518	517	1
540	512	1
549	566	1
553	553	1
553	556	1
555	249	1
555	555	2
556	555	2
556	556	2
557	208	1
557	557	1
560	563	1
563	556	1
563	563	1
565	565	1
565	567	1
566	565	1
567	553	1
567	567	2
607	540	1
611	629	1
629	629	1
631	660	1
633	631	1
635	633	1
635	635	1
660	660	1
660	661	1
661	661	1
661	663	1
663	663	1
663	899	1
777	777	1
782	777	1
782	782	1
784	782	1
801	801	1
802	801	1
844	844	1
851	844	1
851	851	1
855	851	1
899	896	1
925	925	1
926	927	1
927	925	1
927	927	1
1023	1023	1
1024	1023	1
1024	1024	1
1366	1366	1
1377	1366	1
1377	1377	1
1380	1377	1
1382	1382	1
1388	1382	1
1411	1411	1
1411	1421	1
1413	1411	1
1421	1421	1
1435	137	1
1441	1441	1
1458	1458	1
2258	2261	1
2261	2261	1
2323	2343	1
2335	2335	1
2336	2336	1
2336	2337	1
2337	2335	1
2339	2336	1
2339	2339	1
2340	2339	1
2340	2340	2
2342	2340	1
2342	2342	1
2343	2340	1
2343	2343	1
2347	2347	1
2359	2400	1
2363	2347	1
2390	2391	1
2391	2391	1
2391	2392	1
2392	2411	1
2398	2398	1
2398	2399	1
2400	2398	1
2401	2401	1
2401	2402	1
2402	2402	1
2409	2409	1
2410	2409	1
2410	2410	1
2411	2410	1
2411	2411	1
2455	2457	1
2457	2457	1
2514	2514	1
2514	2528	1
2522	274	1
2522	2514	1
2522	2522	1
2528	2528	1
2588	2589	1
2589	2589	1
2589	2590	1
2590	2590	1
2590	2592	1
2592	2592	1
2668	209	1
2668	567	1
2668	660	1
2668	1024	1
2668	1441	1
2668	1458	1
2668	2342	1
4604	430	1
4604	784	1
4604	2401	1
4604	2522	1
5514	209	1
