ORIG	DEST	N_TOT
3	3	2
3	6	1
4	3	2
4	4	2
5	4	2
5	5	2
6	7	1
7	7	1
9	9	1
9	10	1
10	10	1
10	27	1
11	5	2
11	11	1
12	11	1
12	12	1
14	15	1
15	15	1
15	24	1
24	9	1
27	27	1
27	29	1
35	35	1
35	57	1
42	47	1
44	48	1
47	47	1
47	58	1
48	48	1
54	64	1
57	57	1
58	58	1
64	64	1
72	73	1
73	73	1
75	75	1
83	84	1
84	84	1
85	584	1
87	88	1
88	88	1
88	585	1
94	12	1
95	94	1
96	95	1
118	118	1
119	119	1
120	118	1
127	119	1
127	134	1
134	134	1
148	153	1
153	153	1
155	152	1
155	155	1
157	157	1
157	187	1
163	176	2
176	176	2
176	178	1
178	178	1
179	179	1
179	191	1
181	181	1
181	574	1
187	187	1
191	157	1
191	191	1
195	195	1
196	196	1
196	560	1
197	196	1
198	198	1
198	199	1
199	199	1
201	206	1
206	206	1
207	207	2
207	208	2
208	198	1
208	208	3
209	209	1
209	247	1
210	207	2
210	210	1
211	155	1
211	210	1
216	228	1
217	216	1
219	220	1
220	217	1
220	220	1
224	224	1
228	224	1
228	228	1
234	211	1
235	237	1
237	234	1
237	237	1
238	239	1
239	262	1
240	240	1
241	235	1
242	240	1
242	242	1
244	242	1
247	208	1
247	247	1
255	255	1
255	298	1
256	255	1
257	257	1
257	259	1
259	259	1
262	243	1
262	262	1
266	266	1
267	267	1
268	268	1
269	268	1
269	269	1
273	238	1
273	273	1
274	274	1
274	2518	1
275	274	1
276	269	1
276	276	1
277	266	1
277	278	1
278	278	1
278	286	1
278	287	1
279	276	1
281	281	1
282	281	1
282	282	1
284	284	1
284	286	1
285	273	1
285	285	1
285	286	1
286	278	1
286	282	1
286	286	2
287	275	1
288	289	1
288	290	1
289	284	1
289	290	1
290	290	2
290	291	1
291	291	1
291	292	1
292	293	1
293	285	1
293	293	1
294	294	1
294	310	1
298	298	1
298	299	1
299	257	1
299	299	2
299	303	1
302	302	1
302	524	1
303	303	1
303	305	2
304	304	1
304	525	1
305	304	1
305	305	2
305	525	1
310	310	1
312	313	1
312	314	1
313	294	1
313	313	1
313	314	1
314	314	2
314	317	1
316	316	1
317	316	1
317	317	1
319	312	1
319	319	1
320	319	1
323	328	1
326	326	1
328	328	1
330	330	1
335	335	1
336	335	1
338	338	1
343	338	1
346	346	1
346	383	1
347	346	1
351	351	1
351	374	1
351	2616	1
352	352	2
352	353	1
352	372	2
352	2615	1
353	351	1
353	352	1
354	352	1
354	353	1
354	354	1
355	354	1
355	355	2
355	367	1
359	355	1
372	352	1
372	372	3
372	374	2
373	373	1
374	351	1
374	372	2
374	374	4
374	377	1
375	374	1
375	375	1
377	373	1
377	377	1
383	383	1
390	391	1
391	391	1
391	397	1
397	397	1
399	402	1
402	402	1
402	403	1
403	403	1
403	404	1
404	404	1
405	408	1
407	407	1
407	410	1
408	407	1
408	408	1
408	410	1
410	410	2
410	411	1
411	411	1
411	412	1
412	412	1
412	433	1
413	413	1
413	414	1
414	417	1
418	431	1
424	424	2
425	424	1
425	425	1
429	429	1
429	431	1
430	429	1
430	430	1
431	424	1
431	431	1
431	434	1
432	425	1
432	432	1
433	413	1
433	433	1
434	432	1
434	434	1
436	439	1
439	439	1
445	445	2
446	445	1
447	445	1
447	447	1
448	447	1
448	448	1
450	448	1
456	456	1
456	490	1
464	465	1
465	465	1
465	466	1
466	466	2
468	479	1
469	326	1
472	473	1
473	330	1
473	473	1
479	479	1
479	484	1
484	485	1
485	702	1
486	486	1
487	486	1
487	487	1
487	490	1
488	487	1
490	490	2
490	491	1
491	491	1
500	500	1
500	501	1
501	501	3
501	502	1
502	502	1
503	504	1
504	500	1
504	501	1
504	504	1
507	507	1
507	508	1
508	508	1
514	501	1
514	514	2
515	507	1
515	514	1
516	514	1
516	515	1
516	516	1
517	529	1
522	522	1
522	529	1
523	522	1
523	523	3
523	529	1
524	523	1
525	302	1
525	525	2
525	527	1
527	523	2
527	527	1
528	528	1
528	533	1
529	529	1
529	532	2
530	528	2
530	530	2
531	530	2
531	531	2
532	531	2
532	532	2
533	533	1
533	537	1
534	534	1
535	534	1
535	535	1
537	538	1
538	516	1
544	547	1
547	547	1
547	548	1
548	548	1
548	566	1
552	535	1
555	555	2
556	555	1
557	557	1
557	2668	1
559	559	1
560	560	1
560	563	1
562	562	1
563	563	1
566	566	1
570	181	1
570	570	1
571	570	1
574	574	1
579	179	1
579	557	1
579	579	2
580	579	1
582	87	1
582	582	1
583	582	1
583	583	1
584	583	1
584	584	1
585	586	1
586	586	1
588	588	1
590	596	1
595	610	1
595	613	1
596	595	1
596	596	1
601	602	1
601	606	1
602	597	1
602	602	1
606	562	1
606	606	1
610	610	1
610	611	2
611	579	1
611	601	1
611	611	1
612	590	1
613	613	1
613	621	1
613	622	1
614	588	1
616	616	1
616	908	1
618	616	1
618	618	3
619	619	2
619	620	1
620	618	1
620	620	1
621	621	1
621	658	1
622	658	1
622	659	1
623	613	1
623	623	2
623	628	1
624	624	2
625	618	1
625	625	1
627	628	1
628	612	1
628	623	1
628	628	1
647	647	1
647	667	1
648	647	1
651	651	1
653	653	1
656	624	2
656	656	1
658	658	2
658	660	1
658	661	1
659	659	1
659	660	1
660	619	1
660	660	2
660	663	1
661	661	1
661	662	1
662	662	1
662	663	1
662	674	1
663	663	1
663	664	1
663	673	1
664	664	1
664	672	1
665	653	1
665	669	1
665	673	1
666	656	1
666	666	1
667	651	1
667	666	1
667	667	1
669	669	1
669	670	1
669	690	1
670	670	1
670	690	1
671	671	1
672	672	1
672	673	1
673	673	2
673	675	1
674	674	1
675	675	2
675	843	1
675	895	1
679	679	1
679	788	1
681	679	1
681	681	1
685	681	1
685	685	1
686	685	1
687	698	1
690	690	2
690	691	1
691	691	1
691	692	1
692	671	1
692	692	1
695	695	1
697	697	1
697	703	1
697	835	1
698	698	1
698	699	1
699	702	1
700	695	1
700	700	1
702	697	2
702	702	1
703	700	1
703	703	1
703	704	1
704	704	1
704	706	1
705	713	1
706	705	1
706	706	1
708	708	1
709	711	1
711	712	1
712	708	1
712	712	1
712	797	1
713	713	1
713	714	1
714	714	1
714	715	1
715	715	2
716	715	1
716	716	1
717	716	1
717	717	1
718	717	1
718	718	1
724	725	1
725	725	1
725	727	1
727	727	1
728	736	1
732	732	1
733	732	1
733	733	2
733	775	1
735	735	1
736	735	1
736	736	1
736	741	2
738	718	1
738	738	1
739	738	1
739	739	1
741	771	1
741	772	1
742	742	1
742	743	2
743	743	1
743	768	2
744	742	1
745	745	1
745	751	1
751	751	1
755	745	1
