ORIG	DEST	N_TOT
25	27	1
27	27	1
27	28	1
28	28	1
28	39	1
29	25	1
39	39	1
124	124	1
136	124	1
302	302	1
302	551	1
304	302	1
331	331	1
332	331	1
332	332	1
333	333	1
333	335	1
335	335	1
336	333	1
413	435	1
414	433	1
432	432	1
433	413	1
435	432	1
435	435	1
500	546	1
502	500	1
507	508	1
514	643	1
515	507	1
515	515	1
531	515	1
531	531	1
537	531	1
537	537	1
544	537	1
544	543	1
544	544	1
546	544	1
546	547	1
547	544	1
549	537	1
549	549	1
551	549	1
551	551	1
567	546	1
611	611	1
612	611	1
612	612	1
624	612	1
643	647	1
647	650	1
649	502	1
650	649	1
650	650	1
849	849	1
891	849	1
926	926	1
930	926	1
930	930	1
931	930	1
942	1380	1
1044	567	1
1380	1380	1
1412	1412	1
1412	1414	1
1414	1414	1
1415	1412	1
1434	1434	1
1434	1442	1
1436	1439	1
1439	1434	1
1442	1442	1
2257	2257	1
2259	2671	1
2316	2320	1
2320	2320	1
2320	2321	1
2321	2321	1
2331	2331	1
2331	2333	1
2333	2347	1
2334	2331	1
2334	2334	1
2343	2343	1
2347	2347	1
2348	2349	1
2349	2334	1
2349	2349	1
2362	2362	1
2366	2343	1
2407	2407	1
2427	2407	1
2427	2427	1
2429	2427	1
2515	2516	1
2516	2516	1
2516	2517	1
2517	2517	1
2605	2607	1
2607	2609	1
2608	2608	1
2608	2610	1
2609	2608	1
2609	2609	1
2610	2610	1
2668	332	1
2668	2362	1
2671	2257	1
2671	2671	1
4137	414	1
