ORIG	DEST	N_TOT
29	29	1
30	30	1
30	35	1
33	29	1
33	33	1
35	33	1
35	35	1
137	137	1
138	137	1
138	138	1
204	246	1
246	246	1
256	300	1
300	300	1
300	553	1
301	301	1
301	304	1
304	304	1
332	336	1
336	336	1
511	538	1
514	514	1
515	514	1
516	515	1
528	529	1
529	516	1
530	530	1
530	532	1
531	530	1
532	537	1
533	528	1
537	533	1
537	537	1
538	531	1
538	538	1
553	301	1
553	553	1
624	624	1
628	624	1
891	891	1
892	891	1
892	892	1
893	892	1
942	942	1
976	976	1
976	1379	1
977	976	1
1008	30	1
1044	2512	1
1379	1379	1
1415	1415	1
1436	1436	1
1438	1436	1
2259	2259	1
2316	2316	1
2324	2316	1
2332	2332	1
2332	2350	1
2348	2348	1
2350	2350	1
2350	2360	1
2352	2332	1
2360	2348	1
2360	2360	1
2366	2366	1
2429	2429	1
2430	2429	1
2459	2459	1
2460	2459	1
2511	2511	1
2511	2515	1
2512	2511	1
2512	2512	1
2515	2515	1
2601	2601	1
2601	2604	1
2604	2605	1
2605	2605	1
2668	138	1
2668	942	1
2668	1415	1
2668	2259	1
2668	2366	1
4604	2601	1
