TourType,CEP,Depot_ID,Tour_ID,Trip_ID,Unique_ID,O_zone,D_zone,N_parcels,Traveltime,TourDepTime,TripDepTime,TripEndTime,Type,TourDist,VehType,OrigType,DestType
0,PostNL,1,1.0_95,1.0_95_5,1.0_95_5_0,52,53,28,0.0347222222222222,8.558689828445752,14.125,0.0,Delivery,0.787,Van,Depot,HH
0,PostNL,1,1.0_95,1.0_95_6,1.0_95_6_0,53,2668,0,0.3622222222222222,8.558689828445752,15.093,0.0,Delivery,17.987,Van,Depot,HH
0,PostNL,1,1.0_96,1.0_96_0,1.0_96_0_0,2668,39,11,0.3447222222222222,7.198101489084879,7.198,0.0,Delivery,17.912,Van,Depot,HH
0,PostNL,1,1.0_96,1.0_96_1,1.0_96_1_0,39,37,5,0.035,7.198101489084879,7.909,0.0,Delivery,0.65,Van,Depot,HH
0,PostNL,1,1.0_96,1.0_96_2,1.0_96_2_0,37,43,52,0.0652777777777777,7.198101489084879,8.111,0.0,Delivery,0.902,Van,Depot,HH
0,PostNL,1,1.0_96,1.0_96_3,1.0_96_3_0,43,44,16,0.0466666666666666,7.198101489084879,9.91,0.0,Delivery,1.501,Van,Depot,HH
0,PostNL,1,1.0_96,1.0_96_4,1.0_96_4_0,44,48,18,0.0247222222222222,7.198101489084879,10.49,0.0,Delivery,1.289,Van,Depot,HH
0,PostNL,1,1.0_96,1.0_96_5,1.0_96_5_0,48,45,8,0.0347222222222222,7.198101489084879,11.114,0.0,Delivery,0.515,Van,Depot,HH
0,PostNL,1,1.0_96,1.0_96_6,1.0_96_6_0,45,46,69,0.0436111111111111,7.198101489084879,11.416,0.0,Delivery,0.31,Van,Depot,HH
0,PostNL,1,1.0_96,1.0_96_7,1.0_96_7_0,46,1,1,0.1363888888888889,7.198101489084879,13.759,0.0,Delivery,1.682,Van,Depot,HH
0,PostNL,1,1.0_96,1.0_96_8,1.0_96_8_0,1,2668,0,0.3527777777777778,7.198101489084879,13.929,0.0,Delivery,18.775,Van,Depot,HH
