ORIG	DEST	N_TOT
39	41	1
40	40	1
40	46	1
41	40	1
41	41	1
46	46	1
46	61	1
61	61	1
111	111	1
112	111	1
123	123	1
124	123	1
210	558	1
246	247	1
247	247	1
331	333	1
333	333	1
335	337	1
337	337	1
337	344	1
344	344	1
424	424	1
424	446	1
432	434	1
434	434	1
434	437	1
436	424	1
437	437	1
437	438	1
438	439	1
439	436	1
439	439	1
446	446	1
446	447	1
447	447	1
447	448	1
500	651	1
503	500	1
503	503	1
508	503	1
534	534	1
534	535	1
535	549	1
537	545	1
539	534	1
541	637	1
543	541	1
545	568	1
558	558	1
560	560	1
562	560	1
562	562	1
568	562	1
568	568	1
606	539	1
606	606	1
607	606	1
609	607	2
609	609	1
629	609	1
637	609	1
637	637	1
641	629	1
641	641	1
642	641	1
642	642	1
645	642	1
645	645	1
647	645	1
648	647	1
650	648	1
651	650	1
802	802	1
849	850	1
850	850	1
850	855	1
855	855	1
885	885	1
1379	1388	1
1388	1388	1
1413	1413	1
1414	1413	1
1435	1435	1
1442	1435	1
2257	2258	1
2258	2258	1
2319	2319	1
2319	2323	1
2321	2319	1
2323	2323	1
2343	2343	1
2343	2363	1
2347	2361	1
2361	2361	1
2361	2373	1
2362	2343	1
2362	2362	1
2362	2363	1
2363	2363	2
2373	2362	1
2389	2389	1
2389	2390	1
2390	2390	1
2407	2428	1
2417	2389	1
2417	2417	1
2428	2417	1
2428	2428	1
2455	2455	1
2458	2455	1
2458	2458	1
2459	2458	1
2517	2523	1
2522	2522	1
2523	2522	1
2523	2523	1
2585	2585	1
2585	2587	1
2586	2586	1
2586	2588	1
2587	2586	1
2587	2587	1
2588	2588	1
2610	2585	1
2668	802	1
2668	885	1
4604	518	1
