ORIG	DEST	N_TOT
13	13	1
13	14	1
14	19	1
19	19	1
19	167	1
27	42	1
42	42	1
42	43	1
43	43	1
43	49	1
49	13	1
49	49	1
49	51	1
50	50	1
50	1008	1
51	50	1
51	51	1
68	69	1
69	69	2
71	71	2
71	73	1
72	71	1
73	69	1
73	73	1
75	1008	1
85	85	1
88	85	1
104	104	1
104	106	1
106	1008	1
111	111	1
112	111	1
112	112	1
113	112	1
113	113	1
114	113	1
118	118	1
121	118	1
124	124	2
124	133	1
129	104	1
129	129	1
130	130	2
130	131	1
130	132	1
131	131	2
131	136	1
132	131	1
132	132	2
132	134	1
133	129	1
133	133	2
133	134	1
134	132	1
134	133	1
134	134	2
135	124	2
135	135	2
135	141	1
136	135	2
136	136	2
136	559	1
137	136	1
139	1433	1
140	142	1
141	141	1
142	130	1
142	142	1
143	130	1
143	143	1
144	143	1
144	144	1
146	147	1
147	144	1
149	150	1
150	150	1
150	154	1
151	139	1
153	151	1
153	153	1
154	153	1
154	154	2
154	155	1
155	155	1
167	581	2
172	172	1
231	2503	1
235	231	1
236	235	1
236	236	1
241	236	1
242	241	1
248	2668	1
249	249	1
250	250	1
251	1008	1
259	249	1
261	242	1
270	271	1
271	271	1
274	274	1
274	275	1
275	275	2
277	275	1
277	277	1
284	284	1
287	277	1
287	284	1
287	287	1
288	289	2
289	287	1
289	289	2
306	306	1
306	524	1
309	310	1
310	310	1
310	320	1
319	319	1
320	319	1
320	320	1
327	327	1
334	327	1
334	334	1
335	334	1
335	335	1
336	337	1
337	335	1
337	337	1
341	467	1
347	347	1
347	349	1
349	390	1
364	364	1
364	366	1
365	364	1
366	366	1
376	383	1
379	379	1
379	380	1
380	380	1
380	382	1
381	347	1
381	381	1
382	381	1
382	382	1
383	379	1
383	383	1
383	384	1
384	382	1
384	384	1
390	390	1
390	398	1
394	394	1
396	394	1
398	398	1
407	407	1
411	411	1
412	411	1
416	752	1
417	416	1
417	417	1
419	726	1
425	417	1
428	2668	1
432	417	1
432	432	1
434	432	1
441	441	1
443	449	1
445	443	1
445	445	1
447	448	1
448	445	1
448	448	1
449	441	1
467	467	1
467	468	2
468	468	2
468	478	1
474	474	1
474	3362	1
475	475	1
478	475	1
478	478	1
478	479	1
479	478	1
479	479	1
479	481	1
481	481	1
481	500	1
485	490	1
490	490	1
490	491	1
491	491	1
491	493	1
493	493	1
493	500	1
500	473	1
500	500	2
504	1008	1
505	506	1
506	506	1
506	507	1
507	507	1
512	513	1
513	513	1
520	306	1
520	522	1
522	474	1
522	522	2
522	2668	1
524	522	1
538	538	1
539	538	1
540	541	1
541	541	1
559	248	1
559	559	1
559	3362	1
572	572	1
574	574	1
574	576	1
576	576	1
578	574	1
578	578	1
579	582	1
581	172	1
581	581	2
582	578	1
582	582	1
589	589	1
591	591	1
592	2668	1
599	599	1
599	601	1
600	599	1
600	600	1
601	572	1
601	601	1
603	2668	1
604	606	1
606	606	1
606	607	1
607	607	1
615	589	1
631	638	1
638	600	1
638	638	1
658	659	1
659	659	1
659	660	1
660	660	1
660	663	1
663	663	1
663	664	1
664	664	1
664	672	1
672	672	1
672	673	1
673	673	1
676	676	1
677	676	1
677	841	1
678	679	1
679	679	1
684	677	1
687	687	1
689	687	1
689	689	1
689	690	1
690	690	1
694	689	1
715	715	1
716	715	1
716	719	1
719	424	1
726	738	1
738	819	1
739	778	1
749	5514	1
752	419	1
776	776	1
778	776	1
778	778	1
782	716	1
782	2668	1
801	840	1
813	813	1
813	815	1
813	816	1
815	816	1
816	819	1
816	827	1
817	813	1
819	801	1
819	820	1
820	821	1
821	822	1
822	823	1
823	824	1
824	825	1
825	782	1
825	825	2
825	829	1
826	825	1
827	826	1
839	839	1
839	840	1
839	846	1
840	840	1
840	846	1
841	839	1
841	841	1
846	846	2
850	850	1
850	859	1
859	859	1
859	860	1
860	860	1
860	862	1
862	862	1
862	863	1
863	863	1
872	872	1
874	875	1
875	71	1
875	875	2
877	875	1
877	877	2
877	879	1
878	879	1
878	924	1
879	872	1
879	877	1
879	879	2
892	850	1
913	914	1
914	914	1
924	1388	1
925	877	1
925	925	1
926	925	1
926	926	1
927	926	1
927	927	1
928	927	1
928	928	1
929	928	1
943	977	1
946	946	1
947	946	1
947	947	1
948	947	1
953	959	1
958	970	1
959	947	1
959	959	1
959	973	1
970	970	1
970	1077	1
973	973	1
977	959	1
1008	1008	1
1008	1044	1
1034	1042	2
1035	1035	1
1035	2512	1
1042	1035	1
1042	1042	2
1044	1044	1
1044	2503	1
1048	1048	1
1048	1049	1
1049	1049	1
1053	1048	1
1053	1053	1
1074	1053	1
1074	1074	1
1076	1074	1
1076	1076	1
1077	1078	1
1078	1076	1
1078	1078	1
1081	2298	1
1353	1358	1
1354	1354	1
1354	1359	1
1354	1380	1
1355	1354	1
1355	1355	1
1357	1357	2
1357	1362	2
1358	1357	2
1358	1358	1
1359	1359	1
1359	1365	1
1362	1354	1
1362	1355	1
1362	1362	1
1365	1365	1
1371	1371	1
1371	1372	1
1372	1372	1
1374	1008	1
1374	1374	1
1375	1375	1
1375	1380	1
1376	1375	1
1377	943	1
1380	1380	2
1380	1381	1
1381	1484	1
1388	1377	1
1417	1417	1
1418	1417	1
1422	1422	1
1422	1425	1
1423	1425	1
1424	1428	1
1425	1425	2
1425	1432	1
1427	1424	1
1427	1427	1
1427	1428	1
1428	1423	1
1428	1428	1
1428	1430	1
1430	1427	1
1430	1430	1
1432	154	1
1432	1432	1
1433	1433	1
1443	1448	1
1445	1422	1
1445	1445	1
1446	1447	1
1447	1445	1
1447	1447	1
1448	1448	1
1467	4604	1
1472	1473	1
1473	1473	1
1473	1474	1
1474	1479	1
1477	1477	1
1477	1478	1
1478	1493	1
1479	1479	1
1479	1494	1
1481	1481	1
1482	1481	1
1482	1482	1
1483	1482	1
1484	1485	1
1484	4604	1
1485	1371	1
1485	1485	1
1488	1374	1
1493	1493	1
1493	1496	1
1494	1494	1
1496	1496	1
1496	1503	1
1503	1503	1
1505	1506	1
1506	1506	1
2290	2293	1
2293	2293	1
2293	2300	1
2294	2294	1
2294	2300	1
2295	2294	1
2295	2295	1
2296	2412	1
2298	2295	1
2300	2300	1
2300	2339	1
2314	2314	1
2314	2325	1
2315	2314	1
2319	2319	1
2320	2319	1
2320	2320	1
2324	2324	1
2325	2320	1
2332	2332	1
2333	2360	1
2339	5514	1
2340	2340	1
2340	2341	1
2341	2341	1
2342	2324	1
2348	2348	1
2348	2350	1
2350	2333	1
2352	2332	1
2352	2352	1
2356	2359	1
2359	2352	1
2359	2359	1
2360	2340	1
2362	2348	1
2363	2362	1
2363	2363	1
2364	2363	1
2366	2391	1
2367	2367	1
2370	2367	1
2371	2384	1
2375	2376	1
2376	2376	1
2380	2380	1
2380	2401	1
2381	2380	1
2384	2381	1
2384	2384	1
2391	2391	1
2393	1044	1
2393	2393	1
2397	2397	1
2397	2405	1
2398	2397	1
2401	2401	1
2405	2405	1
2405	2437	1
2409	2409	1
2409	2410	1
2410	2410	1
2412	2393	1
2412	2412	1
2417	2421	1
2419	2419	1
2419	2420	1
2420	2420	1
2421	2421	1
2421	2668	1
2422	2422	1
2422	2705	1
2424	2446	1
2425	2419	1
2425	2425	1
2426	2425	1
2426	2431	1
2427	2409	1
2431	2431	1
2431	2432	2
2432	2432	2
2437	2446	1
2438	2438	1
2440	2441	1
2441	2441	1
2441	2442	1
2442	2451	1
2443	2440	1
2445	2445	2
2445	2449	1
2446	2445	2
2446	2446	1
2448	2448	1
2448	2450	1
2449	2448	1
2450	2443	1
2451	2438	1
2451	2457	1
2457	2457	1
2459	2459	1
2461	2459	1
2468	2468	1
2469	2468	1
2501	2356	1
2501	2501	1
2503	2503	2
2503	2515	1
2512	2512	1
2515	2516	1
2516	274	1
2522	2522	1
2523	2524	1
2524	2524	1
2526	2522	1
2539	2539	1
2575	2575	1
2575	2576	1
2576	2576	1
2584	2668	1
2602	2539	1
2605	1008	1
2655	2575	1
2656	2655	1
2662	2668	1
2668	250	1
2668	407	1
2668	591	1
2670	2422	1
2683	2704	1
2701	2710	1
2704	2662	1
2704	2701	1
2704	2704	1
2705	2704	1
2705	2705	1
2710	2710	1
2710	2715	1
2711	2711	1
2711	2714	1
2712	2712	1
2714	2712	1
2714	2714	1
2715	2715	1
2715	2716	1
2716	2716	1
2716	2717	2
2717	2717	2
2717	2718	2
2718	2718	2
2718	2721	2
2719	2719	3
2719	2720	1
2719	2722	1
2720	2711	1
2720	2720	2
2720	2726	1
2721	2719	3
2721	2721	1
2722	2722	1
2722	2726	1
2723	2721	1
2723	2723	1
2725	2727	1
2726	2720	1
2726	2726	1
2727	2723	1
2727	2727	1
2746	2756	1
2755	4604	1
2756	2769	1
2769	2755	1
2769	2769	1
4604	207	1
4604	1477	1
5514	2501	1
5514	2549	1
