ORIG	DEST	N_TOT
7	7	1
14	7	1
43	43	1
49	43	1
49	49	1
50	49	1
69	69	1
69	2668	1
72	74	2
73	1008	1
74	74	2
74	869	1
75	1008	1
103	160	1
108	119	1
109	108	1
110	109	1
111	110	1
111	111	1
112	111	1
112	112	1
113	112	1
113	113	1
113	114	1
114	113	1
114	114	1
117	117	1
118	117	1
119	119	2
120	119	1
120	120	1
121	121	2
121	124	1
122	121	2
124	124	1
124	140	1
127	120	1
131	142	1
135	135	1
136	135	1
136	136	1
137	149	1
140	140	1
140	155	1
141	136	1
141	141	1
142	142	1
142	148	1
148	103	1
148	141	1
148	148	2
149	148	1
149	149	1
153	153	1
155	153	1
155	155	1
160	160	1
179	189	1
187	190	1
189	187	1
189	189	1
196	196	1
197	196	1
200	189	1
201	201	1
202	201	1
210	200	1
210	210	2
212	210	1
212	212	1
224	224	1
224	1010	1
230	1039	1
231	231	1
231	2519	1
232	231	1
233	237	1
237	241	1
238	238	1
238	242	1
241	261	1
241	268	1
242	242	1
250	302	1
250	1008	1
251	212	1
251	251	1
251	254	1
254	254	1
254	2668	1
256	256	1
256	293	1
259	259	1
259	282	1
261	259	1
263	270	1
264	263	1
268	264	1
268	285	1
269	241	1
269	269	1
269	271	1
270	269	1
270	270	1
270	271	1
271	233	1
271	2519	1
273	268	1
280	256	1
282	282	1
282	285	1
283	280	1
285	283	1
285	290	1
286	1008	1
289	2626	1
290	290	1
290	292	1
292	292	1
293	2626	1
302	302	1
323	333	1
324	328	1
326	326	1
328	328	1
328	329	1
329	329	1
329	339	1
331	331	1
331	332	1
332	332	1
333	331	1
333	333	1
339	339	1
339	340	1
340	340	1
346	347	1
347	347	1
348	349	1
348	382	1
349	346	1
349	349	1
367	368	1
368	368	1
368	2613	1
376	368	1
379	379	1
379	2662	1
381	2668	1
382	376	1
391	391	1
391	392	1
392	379	1
392	392	1
393	393	1
395	393	1
395	398	1
397	397	1
398	397	1
398	398	1
407	391	1
408	408	1
410	408	1
428	428	1
428	2662	1
442	428	1
448	466	1
449	448	1
449	449	2
459	463	1
460	449	1
460	460	1
461	460	1
463	463	1
466	348	1
469	326	1
479	479	1
479	4604	1
483	449	1
483	559	1
488	479	1
488	488	1
492	488	1
509	510	1
510	510	1
513	2668	1
543	2668	1
559	559	1
591	936	1
593	593	1
596	596	1
596	1008	1
597	593	1
597	597	1
598	597	1
604	605	1
605	605	1
605	610	1
610	610	1
610	611	1
611	611	1
611	612	1
612	596	1
612	612	1
661	661	1
661	662	1
662	662	1
662	677	1
678	678	1
678	684	1
679	678	1
684	684	1
684	825	1
686	686	1
686	688	1
687	687	1
687	782	1
688	688	1
688	698	1
697	687	1
697	697	1
698	697	2
777	777	1
777	811	1
782	777	1
785	686	1
785	785	1
786	785	1
825	825	1
825	826	1
826	826	1
832	852	1
842	896	1
852	852	1
852	853	1
853	853	1
866	867	1
867	867	1
867	888	1
868	868	1
868	920	1
869	869	1
869	886	1
870	870	1
874	875	1
875	72	1
875	875	1
875	876	1
876	69	1
876	75	1
882	875	1
883	870	1
883	883	1
886	886	1
888	868	1
888	888	1
888	889	1
889	883	1
889	889	1
896	896	1
896	898	1
898	898	1
898	906	1
900	661	1
900	900	1
902	900	1
906	902	1
906	906	1
909	918	1
912	909	1
918	918	1
918	922	1
920	920	1
922	925	1
925	882	1
932	912	1
936	932	1
1008	210	1
1010	1408	1
1036	1036	1
1036	1044	1
1036	2668	1
1039	1039	1
1039	2668	1
1049	2668	1
1081	2391	1
1152	1036	1
1366	1366	1
1366	1509	1
1369	1369	1
1369	1508	1
1370	1369	1
1391	1391	1
1391	1488	1
1393	1394	1
1394	1394	1
1394	1480	1
1403	1403	1
1404	1403	1
1404	1404	1
1405	1404	1
1405	1405	1
1408	1405	1
1408	1408	1
1428	224	1
1429	1430	1
1430	1430	1
1430	3362	1
1448	1449	1
1449	1449	1
1480	1480	1
1484	1391	1
1488	1488	2
1488	1489	1
1489	1489	1
1489	1493	1
1490	1008	1
1490	1488	1
1490	1490	1
1493	1494	1
1494	1495	1
1495	1495	1
1495	1496	1
1496	1496	1
1496	1500	1
1499	1499	1
1499	1513	1
1501	1502	1
1502	1499	1
1502	1502	1
1503	1503	1
1504	1490	1
1507	1510	1
1508	1508	1
1508	1522	1
1509	1509	1
1510	1503	1
1510	1510	1
1512	1512	1
1513	1513	1
1513	1515	1
1515	1512	1
1515	1515	1
1522	1366	1
1522	1522	1
2260	2670	1
2267	2260	1
2271	2271	1
2272	2271	1
2272	2272	1
2273	2272	1
2273	2273	1
2274	2273	1
2274	2274	1
2282	2274	1
2282	2282	1
2287	2292	1
2288	2288	1
2288	2668	1
2291	2282	1
2291	2291	1
2292	2291	1
2292	2292	1
2293	2294	1
2294	2294	1
2300	1081	1
2304	1044	1
2304	2306	1
2306	2300	1
2324	2668	1
2330	2330	1
2330	2502	1
2334	2334	1
2335	2330	1
2335	2335	1
2335	2349	1
2340	2341	1
2341	2341	1
2343	2335	1
2343	2343	1
2347	2361	1
2349	2334	1
2349	2349	1
2361	2373	1
2362	2343	1
2362	2362	1
2366	2390	1
2373	2362	1
2385	2385	1
2385	2403	1
2386	2385	1
2386	2386	1
2387	2386	1
2390	2393	1
2391	2366	1
2391	2391	1
2393	2408	1
2396	2396	1
2403	2405	1
2405	2373	1
2405	2405	1
2408	2408	1
2408	2409	1
2409	2267	1
2409	2410	1
2410	2662	1
2433	2396	1
2438	2439	1
2439	2439	1
2439	2451	1
2441	2441	1
2451	2441	1
2451	2451	1
2457	2457	1
2457	2668	1
2458	2457	1
2466	2467	1
2467	2467	1
2502	2351	1
2502	2502	1
2506	2506	1
2506	2516	1
2507	2507	1
2507	2508	1
2508	2506	1
2508	2508	1
2513	2527	1
2516	2524	1
2519	2507	1
2519	2519	1
2519	2528	1
2523	238	1
2524	2523	1
2524	2524	1
2524	2668	1
2525	2534	1
2527	2524	1
2527	2525	1
2528	2527	1
2529	2513	1
2533	2529	1
2533	2533	1
2534	2533	1
2534	2534	1
2534	2535	1
2535	2534	1
2535	2535	2
2536	2535	1
2538	2540	1
2540	2540	1
2553	2553	1
2559	2288	1
2560	2559	1
2569	2569	1
2569	2580	1
2570	2577	1
2571	2569	1
2571	2571	1
2577	2571	1
2577	2577	1
2580	2580	1
2593	2594	1
2594	2594	1
2626	2626	1
2668	2553	1
2668	2686	1
2670	2671	1
2671	2672	1
2672	2690	1
2689	2693	1
2690	2689	1
2692	2668	1
2693	2692	1
2712	2712	1
2712	2713	1
2713	2713	1
2713	2735	1
2714	2712	1
2723	2725	1
2725	2727	1
2727	2727	1
2727	2735	1
2731	2731	1
2731	2732	1
2731	2734	1
2732	2734	1
2733	2768	2
2734	2733	1
2734	2764	1
2735	2731	2
2740	2752	1
2743	2740	1
2743	2743	1
2753	2743	1
2753	2753	1
2754	2753	1
2754	2754	1
2755	2754	1
2755	2755	1
2764	2764	1
2764	2765	1
2765	2733	2
2765	2765	1
2766	2767	1
2767	2755	1
2767	2767	1
2768	2766	1
2768	2768	2
4137	186	1
4604	251	1
