Voertuigtype,CO2 (gram/km),SO2 (mg/km),PMv (mg/km),NOx (g/km),PMslijtage (mg/km)
Bestelauto < 2 ton,126,0.8,47,0.6,15
Bestelauto > 2 ton,186,1.1,30,1,15
Vrachtauto < 10 ton,316,1.9,32,3.1,60
Vrachtauto 10-20 ton,653,3.9,50,5.3,65
Vrachtauto 10-20 ton + aanhanger,892,5.3,67,5.3,75
Vrachtauto > 20 ton,871,5.8,64,6.9,73
Vrachtauto > 20 ton + aanhanger,1220,7.3,83,6.5,84
Trekker-oplegger licht,1011,6.1,27,6.4,60
Trekker-oplegger zwaar,1407,8.4,66,5.1,64
LZV,1899,11.4,80,6.8,93
