ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
27	2731	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
31	5008	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
37	6762	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	6953	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
50	99999934	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
51	677	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
54	37	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
55	3373	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	7239	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	99999908	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
118	6339	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
127	99999918	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	224	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	178	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	4634	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	6922	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	7239	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	7280	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999913	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999915	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999918	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999932	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2
139	99999933	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
139	99999935	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
141	54	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
141	7130	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
143	6948	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
144	99999918	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
149	479	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999942	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
151	157	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	783	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	1666	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2540	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
151	4414	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6811	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6948	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	7239	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	7240	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999913	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999917	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999933	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	64	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
