ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	6706	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	99999941	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
25	984	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	99999912	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	1293	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	4787	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
69	4634	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
69	99999942	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
73	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
74	99999941	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
76	99999917	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
81	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
83	151	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
83	6379	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
86	2509	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
87	162	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
114	456	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	674	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
115	139	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
136	1044	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	149	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	150	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	151	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	156	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	174	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	229	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	252	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	253	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
139	510	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	1811	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2509	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2
139	2914	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6791	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	7239	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	7346	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	7400	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	99999909	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999916	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999923	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999942	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
141	2480	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
141	5518	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
145	5552	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
146	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
147	2988	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
147	4420	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
147	6933	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
147	99999941	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	139	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	576	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
149	1411	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	6770	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	7051	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	99999923	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999940	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999941	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
150	74	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
150	99999942	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
151	139	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	141	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2
151	157	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	196	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	224	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
151	253	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	560	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2365	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	2532	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	3098	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	7034	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
