ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	2886	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
25	560	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
26	99999923	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	6706	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
44	5006	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
47	7400	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	6957	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
55	99999940	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
71	99999943	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
73	259	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
76	2284	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
83	224	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
89	215	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
89	6925	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
114	2914	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
114	6996	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
138	4971	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
139	185	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	252	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	384	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	5008	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	6767	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6768	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
139	6814	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	6838	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6920	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
141	99999934	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
143	606	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
