ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
14	157	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
14	829	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
14	2919	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	6538	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	99999942	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2
27	99999942	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
43	7238	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
46	1192	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
49	6762	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
61	646	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
62	253	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
64	215	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
69	99999939	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
76	99999942	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
82	99999933	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
88	224	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
88	99999942	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	223	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	229	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	253	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	584	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	1431	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	3410	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	5312	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
139	6948	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
139	99999942	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2
143	4578	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
147	185	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
150	6560	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
150	6956	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
151	1360	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
151	2988	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
151	3540	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999941	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
151	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
152	300	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	2532	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	5309	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	2478	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	3040	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	4787	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
157	5008	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
157	6333	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
157	6920	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
157	99999908	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	99999939	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
158	230	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
176	151	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
180	922	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
185	5000	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
185	6411	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
186	1293	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
186	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
197	99999942	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	3
215	7084	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
215	7271	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
217	151	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
223	4461	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
223	6862	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	130	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	253	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
224	986	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
224	1756	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
224	4482	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	4549	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	5346	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
224	5552	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	5806	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
224	6811	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	2
224	6890	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
224	99999909	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	99999923	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
224	99999942	0	3	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	3
224	99999943	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
225	99999916	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
227	986	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
229	453	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
230	1388	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
230	3373	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
230	99999933	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
245	99999903	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
253	43	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
253	230	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
253	322	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	885	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	997	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	2038	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	2975	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	5008	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	6809	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	7064	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	7245	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
253	99999920	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
253	99999936	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	99999942	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
