ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	2509	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
14	139	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
14	3476	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	7239	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
14	99999906	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
25	139	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
25	883	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
27	99999939	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	1220	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
43	6941	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	6550	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
49	99999942	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
52	99999916	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
55	6812	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
63	99999941	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
69	783	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
72	99999941	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
73	99999919	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
74	152	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
76	7239	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
81	5516	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
82	174	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
83	14	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
83	871	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
84	99999909	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
87	4422	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
92	99999917	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
94	651	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
94	99999941	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
110	99999934	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
130	152	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	139	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	151	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	405	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	456	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	578	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	1722	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2142	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2412	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2584	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	6379	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999904	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999906	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999918	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999919	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
139	99999941	0	2	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3
139	99999943	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
141	903	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
141	1931	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
141	99999932	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
142	156	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
146	6547	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
146	6812	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
146	7239	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
147	99999941	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
149	1746	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2
149	5783	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	6564	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	7338	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999917	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
149	99999937	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	99999941	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3
150	2031	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
151	157	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2986	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6549	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6809	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	7025	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
151	7108	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	7258	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999905	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2
151	99999908	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999933	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999941	3	2	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	5
152	271	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	521	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	2472	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
152	6787	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
152	7250	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	7365	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	99999907	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
152	99999912	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
152	99999939	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
156	149	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
156	157	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
156	565	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	25	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	253	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	5516	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
157	6506	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	6707	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
157	6973	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	6996	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	7267	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
157	99999939	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2
157	99999941	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
162	99999913	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
163	5327	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
164	99999906	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
164	99999912	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
164	99999921	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
164	99999937	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
164	99999938	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
167	4570	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
171	99999937	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
172	99999909	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
