ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
17	7058	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	3539	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
25	99999940	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	6551	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
41	7183	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
41	99999917	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
43	6711	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
49	5334	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
54	99999932	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
55	6890	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
55	6948	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
58	7279	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
71	7259	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
74	6326	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
76	885	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
76	6812	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
76	6948	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
76	99999913	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
87	99999923	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
136	6948	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
138	208	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	454	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2458	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	3732	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	3953	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6523	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	6750	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6812	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6925	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6932	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	7251	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	7399	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999917	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999933	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999940	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
141	6490	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
141	6506	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
143	99999917	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
143	99999923	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
146	6812	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
147	6551	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
149	76	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	3423	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	6488	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	6920	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	6948	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	7400	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
149	99999923	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
150	99999933	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	188	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	198	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	521	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	1758	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	1931	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
151	2509	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	2981	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2985	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999921	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999924	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999940	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	2984	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	3008	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	3010	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	6531	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	6919	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	6948	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	7246	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	7326	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
152	99999913	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
153	99999923	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	2284	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
157	5810	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	6411	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2
157	6723	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	6858	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
157	6956	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
157	7316	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
157	7355	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
157	99999918	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
157	99999934	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
158	3903	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
164	5357	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
164	6498	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2
164	6787	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
166	7253	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
171	99999917	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
172	7307	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
174	2671	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
176	6711	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
