ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	99999939	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	453	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
14	1746	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
22	215	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
37	713	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	99999943	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
63	99999912	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
69	871	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
74	3616	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
74	99999942	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
86	521	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
115	3279	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	522	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	783	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	3359	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6373	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6411	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	6527	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6948	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999913	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999933	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999943	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
141	2316	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
146	99999917	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999903	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
150	152	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
151	4634	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	6185	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	7360	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	99999932	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
