ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	6506	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
76	99999943	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
134	99999917	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	421	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	647	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	962	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	1581	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
139	6994	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	7207	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999935	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999943	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
146	99999939	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
146	99999943	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
149	1762	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	4095	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2472	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	5197	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	6492	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999940	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
151	99999941	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2
152	141	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
152	253	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	1210	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	6787	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	6809	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
152	99999943	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
156	2885	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
156	4133	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
157	2920	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
157	6529	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	6980	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	99999932	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
174	99999943	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
188	1501	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
190	99999943	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
192	99999911	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
215	4484	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
223	2173	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	133	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
224	151	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	567	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
224	2174	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
224	2341	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	2801	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
224	2859	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
224	5560	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
224	6720	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	7400	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	99999913	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	99999918	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
224	99999935	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	99999943	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
227	6538	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
227	99999923	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
230	979	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
238	224	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
253	139	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	151	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
253	979	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	982	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
253	1762	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
253	2509	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
253	2549	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	5500	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	7236	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
253	7316	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
253	99999917	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
253	99999918	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
253	99999922	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	99999932	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	99999934	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
