ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
7	99999921	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
25	984	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
25	5946	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
25	6480	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
31	6955	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
34	7355	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
37	99999942	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
46	2858	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
46	6812	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
47	6524	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
54	453	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
71	1296	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
74	99999932	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
76	6327	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
77	1485	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
82	6564	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
84	7023	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
86	6554	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
86	7066	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
109	7239	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
114	99999917	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
115	6948	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
129	4798	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
132	6711	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
134	99999941	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	99999942	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	139	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2
139	215	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	224	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	253	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	270	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
