ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
14	99999905	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	99999913	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
14	99999923	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2
25	4594	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	99999933	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
49	157	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
49	99999940	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
71	1041	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
72	99999924	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
75	4627	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
89	99999942	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
92	99999941	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
92	99999942	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2
100	99999942	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
130	565	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
135	7328	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
138	99999942	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
139	253	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2530	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6327	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6710	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
139	6809	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999906	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
139	99999923	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999942	1	6	2	1	0	2	0	1	6	2	0	0	1	4	0	0	0	0	13
145	99999942	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
146	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
147	933	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
147	99999942	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
149	422	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	1210	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	99999941	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
149	99999942	1	5	1	0	0	1	0	0	1	1	0	1	1	4	0	0	0	0	8
151	224	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	883	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	1450	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2852	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	5300	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	5506	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999938	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999941	1	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	3
151	99999942	1	6	3	1	1	1	0	1	5	0	0	1	0	8	0	0	0	0	14
152	99999942	0	1	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	3
153	99999942	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2
156	521	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
156	99999941	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
157	74	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	6926	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
157	99999905	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
157	99999906	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	99999942	2	5	3	0	0	2	0	3	6	0	0	2	2	5	0	0	0	0	15
162	99999942	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2
164	2352	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
164	99999942	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
165	3375	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
172	99999941	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
174	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
177	99999942	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
178	2911	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
187	151	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
187	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
188	99999911	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
188	99999942	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
189	99999905	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
189	99999942	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
190	99999942	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
192	99999913	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
192	99999942	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
193	99999942	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
194	99999942	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
195	99999942	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
196	99999942	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
197	299	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
197	6862	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
198	6926	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
200	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
203	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
204	253	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
206	99999941	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
207	99999916	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
208	7230	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
212	99999942	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
215	7025	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
215	99999914	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
215	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
223	5008	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
223	6809	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
223	99999942	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	37	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
224	257	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	651	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	864	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
224	924	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
224	1816	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	2111	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	2335	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	3102	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	4725	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	5809	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
224	6507	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
224	6710	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
224	6809	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	99999912	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
224	99999923	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	99999939	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
224	99999942	0	10	5	0	2	1	0	4	10	2	0	3	2	5	0	0	0	0	22
225	224	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
225	2379	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
225	99999942	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2
