ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
14	1746	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	99999920	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	783	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	4787	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
25	5946	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
25	99999942	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
31	7253	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	6706	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	99999923	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
49	3838	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	99999933	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
53	687	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
54	2162	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
55	451	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
66	99999923	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
73	7051	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
74	3372	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
74	6877	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
74	7393	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
76	7331	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
76	99999933	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
83	99999935	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
84	224	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
89	99999934	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
102	99999923	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
135	99999942	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
138	99999941	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	979	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	2911	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2920	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
139	3376	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
139	6711	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
139	6849	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	7058	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	7282	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
139	7379	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999901	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999916	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	99999922	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2
139	99999931	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	99999932	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	99999933	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
141	5398	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
141	7317	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
143	99999919	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
145	252	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
146	1207	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
146	6553	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
146	99999937	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
147	6988	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
147	7264	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
149	495	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
149	2532	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
149	6948	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
149	7069	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999923	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999933	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999942	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
150	561	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
150	710	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
151	84	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
151	335	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
151	740	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	978	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2471	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6516	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6948	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999917	0	2	0	0	0	0	0	2	2	0	0	0	1	1	0	0	0	0	4
151	99999933	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
151	99999942	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
152	151	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	187	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
152	1388	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
152	6809	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
152	6925	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
152	99999920	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
152	99999921	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
152	99999923	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2
152	99999933	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
152	99999942	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
153	7216	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
154	139	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
156	99999923	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	37	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	99999916	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	99999917	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2
157	99999942	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
160	99999933	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
164	614	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
164	2967	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
175	6905	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
