ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
1	146	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2	99999943	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
20	253	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
25	560	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
37	6168	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	99999919	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
47	4367	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	151	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	99999932	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
49	99999940	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
49	99999942	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
53	99999916	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
53	99999940	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
55	180	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
55	99999932	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
70	152	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
72	136	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
72	2919	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
74	99999934	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
76	453	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
76	99999940	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
83	99999911	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
84	229	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
84	99999936	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
86	2516	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
89	227	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
89	3695	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
92	7283	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
100	99999940	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
114	151	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	918	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
130	99999910	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
133	99999911	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
138	6948	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	99999915	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	99999942	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
139	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	149	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2
139	151	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	157	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	329	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	420	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
