,value
ASC_ET,1.684
Tour duration,-1.698
Capacity utilization,5.471
Transshipment,1.588
DC loading,-0.578
DC unloading,-0.475
Urban,-0.58
VT0,-1.295
VT1,1.85
NSTR0,-0.736
NSTR1,-0.659
NSTR2to5,1.495
NSTR6,1.452
NSTR7,0.713
NSTR8,0.583
