LANDBOUW,INDUSTRIE,DETAIL,DIENSTEN,OVERHEID,OVERIG
0.994290976,0.004383057,0,0.000810313,0.000515654,0
0.005218057,0.976654379,0,0,0,0.018127563
0,0.963163597,0,0,0.034669556,0.002166847
0,0.999830076,0,0,0,0.000169924
0,0.957444934,0,0.031674009,0,0.010881057
0,0.957444934,0,0.031674009,0,0.010881057
0,0.97933966,0,0.002174773,0,0.018485567
1,0,0,0,0,0
2.34E-05,0.982254893,0.001193932,0,0.001287574,0.015240191
9.11E-06,0.872441634,0.007372104,0.01265742,9.11E-06,0.107510616
