oppervlak,WP,Xcoor,Ycoor,AREANR
21178,143,101342,428207,7045
7016,19,97683,427215,7062
7838,60,100293,424832,7064
8138,65,100526,424910,7064
9198,26,100269,425071,7064
9260,20,100243,425121,7064
6010,20,101294,424288,7066
25754,226,101294,424288,7066
7345,19,92817,425527,7075
8070,43,101723,422267,7086
11509,147,89454,426821,7106
13653,20,89454,426821,7106
15661,224,89248,427323,7106
21733,129,89532,426607,7106
6100,15,97838,418641,7130
5127,20,75450,415973,7182
7945,61,71935,419547,7183
6508,28,73679,413200,7188
6686,31,67153,418854,7205
6114,34,92223,474967,7240
7835,148,94371,474439,7241
8706,36,94955,475464,7241
12875,36,96406,478149,7241
13350,26,93580,473634,7241
29140,45,96512,477156,7241
12588,17,98044,479419,7242
12714,33,98754,478176,7245
10878,16,99003,476283,7246
35634,656,98938,476056,7246
7127,35,97883,473813,7249
23943,36,97883,473813,7249
6891,36,96834,473846,7250
8736,68,97409,474090,7250
25140,46,96981,473425,7250
5506,42,95601,472802,7251
6697,39,93856,469654,7253
12632,50,94790,470194,7253
14967,,93856,469654,7253
33706,15,94619,469495,7253
5692,51,95251,470169,7254
6784,103,94341,467178,7256
11545,15,111468,469761,7271
5645,21,113527,463946,7279
5201,141,111111,453550,7281
5860,265,111458,453659,7281
11109,25,111458,453659,7281
11203,312,110951,453783,7281
6276,255,112888,453420,7282
21436,464,112888,453420,7282
6090,36,115190,454486,7283
22824,1166,107208,451750,7287
7781,18,109684,446767,7300
9157,104,109152,446642,7300
7819,34,108246,447548,7302
5560,42,127257,435420,7313
7446,30,135263,434230,7316
7145,22,127277,428871,7330
6708,42,128405,428316,7331
11060,97,127989,428247,7331
30740,115,129450,428025,7331
125957,20,128031,428949,7331
5438,70,125048,426956,7336
22434,150,124622,426948,7336
40991,332,124883,427494,7337
6205,30,123769,427254,7338
14762,63,123769,427254,7338
64951,85,123769,427254,7338
5147,80,115516,426191,7340
8564,42,117874,426490,7340
14044,19,119874,438914,7343
7093,103,118171,438808,7346
7280,45,118171,438808,7346
5319,59,105968,428459,7359
5600,16,105868,428826,7359
6400,106,105937,429118,7359
6634,25,106010,428590,7359
9737,102,105442,429009,7359
14433,46,105823,429819,7359
6972,702,109554,426419,7365
8756,39,109025,426414,7365
14500,87,111484,427264,7366
5406,72,109946,425193,7371
9190,24,107935,425970,7373
7758,20,103280,419828,7398
7415,31,103175,421719,7399
5835,54,102703,422869,7400
6380,66,103208,422213,7400
7023,18,103258,423797,7400
12500,74,103422,422860,7400
