ZONE,LS0,LS1,LS2,LS3,LS4,LS5,LS6,LS7,TOT_WEIGHT
82,0.0,4.5,0.0,1.5,0.0,0.0,0.0,0.0,6.0
83,4.5,4.5,3.0,0.0,0.0,6.0,0.0,4.5,22.5
84,4.5,0.11808909317016904,5.041869478914151,0.0,0.0,0.0,0.0,0.0,9.65995857208432
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
87,1.5,6.0,0.0,13.5,1.5,12.5,0.0,4.5,39.5
88,1.5,1.5,3.0,4.5,0.0,0.0,0.0,0.0,10.5
89,1.5,0.0,0.0,0.0,8.0,0.0,0.0,3.0,12.5
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
92,1.5,4.5,6.0,1.5,6.669396217929017,1.5,0.0,0.0,21.669396217929016
93,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.5
94,9.5,3.0,0.0,0.0,0.0,0.0,0.0,8.0,20.5
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,3.0
100,0.0,10.5,0.0,0.0,0.0,1.5,0.0,8.961361057565732,20.961361057565732
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.35872416641016114,0.0,0.0,0.0,0.0,0.0,0.0,0.35872416641016114
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5
112,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,4.5,6.0,9.0,34.0,0.0,10.5,0.0,10.626346912526603,74.6263469125266
115,0.0,4.5,0.0,35.0,0.0,0.0,0.0,0.0,39.5
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5
118,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,4.5
119,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,3.0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,3.0
127,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,2.021628694072092,0.0,0.0,0.0,0.0,2.021628694072092
130,0.0,4.5,1.5,0.0,0.0,0.0,0.0,0.0,6.0
131,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,0.0,1.5,0.0,0.0,0.0,0.0,15.0,16.5
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5
136,0.0,6.0,4.5,0.0,0.0,4.5,0.0,0.0,15.0
137,0.0,0.0,1.5,15.0,0.0,4.5,0.0,0.0,21.0
138,9.5,30.5,4.5,7.5,0.0,3.0,0.0,40.5,95.5
139,70.34884832846303,190.30021876261043,184.5,137.5,25.5,34.5,0.0,148.5,791.1490670910734
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,10.5,35.5,10.5,37.5,6.0,12.0,0.0,25.5,137.5
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,3.0,1.5,40.0,0.0,0.0,0.0,12.5,57.0
144,0.0,7.5,6.0,1.5,0.0,0.0,0.0,0.0,15.0
145,0.0,9.0,6.0,0.0,4.5,0.0,0.0,3.0,22.5
146,9.0,13.5,6.0,35.5,1.5,6.0,0.0,3.0,74.5
147,0.0,12.602347036470057,4.5,35.5,0.0,15.0,0.0,1.5,69.10234703647006
148,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5
149,29.5,53.5,55.0,21.006750713021177,6.0,18.0,0.0,47.5,230.50675071302118
150,1.5,30.5,3.0,36.0,6.0,7.5,0.0,31.08834917214923,115.58834917214924
151,75.27212568724704,170.73269880916274,129.14014480865916,86.43524747068113,10.709950393732171,48.5,0.0,71.0,591.7901671694822
152,15.774661126263865,113.5,104.78681182094458,107.5,23.911140645830507,34.0,0.0,82.0,481.472613593039
153,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,9.0
154,0.0,8.0,0.0,4.5,0.0,0.0,0.0,0.0,12.5
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,17.0,28.47985686042962,22.180849396308474,17.0,3.0,13.5,0.0,23.0,124.1607062567381
157,33.0,106.5,129.9356087567722,63.5,10.793107619604871,40.51979652697452,0.0,94.66765701246733,478.91616991581895
158,0.0,3.0,1.5,0.0,0.0,6.0,0.0,0.0,10.5
159,0.0,0.0,1.5,25.0,0.0,0.0,0.0,1.5,28.0
160,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,1.5,3.0,9.0,0.0,1.5,0.0,0.0,0.0,15.0
163,0.0,6.0,3.0,6.0,0.0,1.5,0.0,0.0,16.5
164,1.762986802010193,16.5,13.5,9.0,1.5,0.0,0.0,3.0,45.26298680201019
165,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0
166,1.5,3.0,1.5,0.0,0.0,0.0,0.0,0.0,6.0
167,1.5,10.5,0.0,16.5,1.5,0.0,0.0,8.0,38.0
168,0.0,0.0,0.0,4.5,0.0,4.5,0.0,0.0,9.0
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0
171,6.0,0.0,0.0,1.5,0.7885900257715794,8.0,0.0,0.0,16.28859002577158
172,4.5,4.5,7.5,0.037280792332073466,0.0,1.5,0.0,0.0,18.037280792332073
173,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,3.0
174,0.0,21.5,4.5,16.0,0.0,1.5,0.0,0.0,43.5
175,0.0,3.0,4.5,0.0,0.0,3.0,0.0,31.0,41.5
176,3.0,0.0,9.5,1.5,0.0,0.0,0.0,0.0,14.0
177,0.0,6.0,4.5,1.5,0.0,0.0,0.0,0.0,12.0
178,1.5,0.0,4.5,0.0,0.0,1.5,0.0,1.5,9.0
179,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
180,1.5,6.0,4.5,1.5,1.5,1.5,0.0,3.0,19.5
181,1.5,15.0,0.0,0.0,0.0,0.0,0.0,50.0,66.5
182,0.0,0.0,4.5,0.0,0.0,4.5,0.0,0.0,9.0
183,0.0,3.0,9.0,21.0,0.0,0.0,0.0,0.0,33.0
184,8.0,1.5,3.0,15.0,0.0,0.0,0.0,36.50284032871546,64.00284032871545
185,11.0,6.0,1.5,31.0,1.5,3.0,0.0,0.0,54.0
186,6.0,13.522168093311162,0.0,15.0,1.5,0.0,0.0,42.0,78.02216809331117
187,1.5,32.51575192380756,13.5,8.0,9.5,1.5,0.0,1.5,68.01575192380756
188,16.76054029681778,44.5,9.0,14.0,1.5,6.0,0.0,46.0,137.7605402968178
189,3.0,3.0,6.0,0.0,1.5,4.5,0.0,6.0,24.0
190,3.0,10.5,0.0,18.5,1.5,3.0,0.0,21.0,57.5
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,1.5,4.5,4.928527529282896,0.0,0.0,6.0,0.0,3.0,19.928527529282896
193,0.0,7.5,6.0,25.0,0.0,0.0,0.0,6.0,44.5
194,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,3.0
195,0.0,1.5,6.0,4.5,0.0,0.0,0.0,0.0,12.0
196,0.0,18.5,12.320443466990337,0.0,0.0,3.0,0.0,4.569387364704451,38.38983083169479
197,1.5,14.659705820947309,0.0,11.0,0.0,1.5,0.0,0.0,28.65970582094731
