zone,naam,1: woningen,2: inwoners,3: inwon0034,4: bbv,5: llp12eo,6: detail,7: industrie,8: rest,9: arbeidspl_totaal,10: gebiedstype,11: intrazonaal,12: vrachtformule,13: autosperhh,14: v_os_auto,15: a_os_auto,16: v_as_auto,17: a_as_auto,18: v_rd_auto,19: a_rd_auto,20: va_mz_os,21: va_mz_as,22: va_mz_rd,23: va_zw_os,24: va_zw_as,25: va_zw_rd,26: inwon0011,27: llp0011
230,s-Gravenhage,134.1054872,254.4395459,115.7197347,118.3719675,0,0,282.88,1.911732925,284.7917329,1,0,1,0.405890531,0,0,0,0,0,0,0,0,0,0,0,0,36.59668667,0
231,s-Gravenhage,418.5714286,779.9252602,390.3535125,365.0077149,0,6.085605554,10.14267592,41.58497128,57.81325276,1,0,1,0.595274651,0,0,0,0,0,0,0,0,0,0,0,0,116.506468,148.8857143
232,s-Gravenhage,217.5714286,411.9252602,206.0007639,192.6058424,136.9348571,16.23880817,14.20895715,16.23880817,46.68657349,1,0,1,0.596262204,0,0,0,0,0,0,0,0,0,0,0,0,61.83196776,0
233,s-Gravenhage,120.5714286,233.9252602,114.7408552,113.9999677,0,7.121872873,11.19151452,12.20892493,30.52231231,1,0,1,0.622062011,0,0,0,0,0,0,0,0,0,0,0,0,33.9164292,0
234,s-Gravenhage,145.5714286,253.9252602,124.6528835,123.602554,0,4.066341134,19.31512039,13.21560868,36.5970702,1,0,1,0.617771928,0,0,0,0,0,0,0,0,0,0,0,0,36.84594397,0
235,s-Gravenhage,189.8571429,326.8681173,163.0417556,153.0596243,0,13.02971429,5.011428571,152.7498284,170.7909712,1,0,1,0.592828495,0,0,0,0,0,0,0,0,0,0,0,0,48.84344911,0
236,s-Gravenhage,384.5714286,1017.92526,509.6352203,476.2784912,0,1.002285714,9.253522829,32.9014145,43.15722305,1,0,1,0.59614276,0,0,0,0,0,0,0,0,0,0,0,0,152.353408,0
237,s-Gravenhage,433.5714286,1089.92526,545.4899506,509.9906588,0,0,10.06632271,27.17907133,37.24539404,1,0,1,0.59534064,0,0,0,0,0,0,0,0,0,0,0,0,162.9853755,0
238,s-Gravenhage,225.5714286,487.9252602,244.180757,228.2385273,0,0,15.25199387,15.25199387,30.50398774,1,0,1,0.59717953,0,0,0,0,0,0,0,0,0,0,0,0,72.7926953,0
239,s-Gravenhage,130.5714286,234.9252602,115.4293138,114.6943828,0,9.11773493,9.11773493,27.35320479,45.58867465,1,0,1,0.620147974,0,0,0,0,0,0,0,0,0,0,0,0,33.99861923,0
240,s-Gravenhage,95.57142857,180.9252602,88.96683747,88.3388285,0,9.097330375,13.14058832,34.36769253,56.60561122,1,0,1,0.618133198,0,0,0,0,0,0,0,0,0,0,0,0,26.1317865,0
241,s-Gravenhage,519.5714286,793.9252602,397.4205037,371.3009539,0,28.24864033,5.011428571,63.55944074,96.81950964,1,0,1,0.594494715,0,0,0,0,0,0,0,0,0,0,0,0,118.9428426,177.6702857
242,s-Gravenhage,403.5714286,910.9252602,456.1130119,425.9760834,0,3.006857143,9.076200272,63.5334019,75.61645932,1,0,1,0.59520375,0,0,0,0,0,0,0,0,0,0,0,0,136.2733612,156.8262857
243,s-Gravenhage,165.8571429,224.4285714,105.1808332,103.819157,0,201.1563802,1.002285714,118.2678215,320.4264874,1,0,1,0.382807391,0,0,0,0,0,0,0,0,0,0,0,0,32.80565261,0
244,s-Gravenhage,315.1293801,654.8328841,353.1524871,318.1505148,0,16.14984124,18.16857139,12.11238093,46.43079356,1,0,1,0.594551677,0,0,0,0,0,0,0,0,0,0,0,0,83.45227869,0
245,s-Gravenhage,349.1293801,672.8328841,362.9733125,326.7928424,0,10.06169158,44.27144294,92.56756251,146.900697,1,0,1,0.596588848,0,0,0,0,0,0,0,0,0,0,0,0,85.78884198,0
246,s-Gravenhage,344.9865229,586.9757412,282.4107587,272.634936,0,146.8756912,4.542547151,48.45383628,199.8720747,1,0,1,0.411847952,139.8817443,139.8817443,139.8817443,139.8817443,652.5714286,652.5714286,0,0,0,0,0,0,86.91609274,0
247,s-Gravenhage,296.7008086,630,301.3971869,292.6324335,0,14.95178981,9.201101423,52.90633318,77.05922441,1,0,1,0.411322636,0,0,0,0,0,0,0,0,0,0,0,0,93.23937107,0
248,s-Gravenhage,309.1293801,491.8328841,238.7908853,228.5322941,0,5.049772831,1.002285714,8.07963653,14.13169508,1,0,1,0.412194625,0,0,0,0,0,0,0,0,0,0,0,0,73.48387621,0
249,s-Gravenhage,372.5714286,817.4285714,398.5602276,379.8016269,0,7.016,12.07563329,201.2605548,220.3521881,1,0,1,0.412032472,0,0,0,0,0,0,0,0,0,0,0,0,122.1238251,0
250,s-Gravenhage,500.5714286,1188.428571,578.9783518,551.7153159,0,7.058785095,27.22674251,105.8817764,140.167304,1,0,1,0.412053876,0,0,0,0,0,0,0,0,0,0,0,0,177.4734669,314.6451429
251,s-Gravenhage,970.7008086,1027.285714,490.5473679,477.4274835,0,21.06759406,2.478540477,153.6695096,177.2156441,1,0,1,0.412093802,0,0,0,0,0,0,0,0,0,0,0,0,151.6768629,0
